PU_ID,PU_Lat,PU_Lon,Number_of_genera,Country,Ecoregion,Management,Habitat,Observer,Depth,Coralcover,SSTRateofRise,PARmax,Calcite,Dis_oxygen,mean.waveNRJ,Salinity_mean,andrello_reef_value,andrello_nutrients,mean.npp,TT_market_hrs,TT_pop_hrs,cumDHW,SST_Kurtosis,SST_Median,ChlorA_median,andrello_sediments,Current_vel_mean,Diff_attenuation,Grav_NP,Grav_NC,PH,SST_bimodality,SST_Skewness,ClimateStressModel,Netflow,Indegree,Outdegree,Retention,min_yr,max_yr,no_replicates
87,39.166543,-6.119777,12,Tanzania,East African Coral Coast,Fished,Lagoon/Back reef,Ussi,5,36,0.020353495,51.4279995,0.004379,4.76549983,0.059219237,35.102398,628,0.402387381,1230.460938,0.333333333,0.25,30.6742298,-0.9617608,27.535,0.446288981,49.99360275,0.630028,0.092500001,1.559208171,1002.011273,8.217000008,0.506475032,-0.180788363,0.643000007,0.683328937,101.25,95,5.5,2016,2016,2
88,39.189,-6.119777,15,Tanzania,East African Coral Coast,Fished,Lagoon/Back reef,Nyawira,2.5,35,0.020303603,50.41699982,0.006568,4.764999866,0.059219237,35.098614,628,0.402387381,1230.460938,0.333333333,0.25,30.17781555,-0.963817505,27.53,0.520213954,49.99360275,0.552099,0.090000004,1.559208171,1002.011273,8.217000008,0.506845225,-0.179991146,0.708000004,0.683328937,101.25,95,5.5,2016,2019,2
88,39.189,-6.119777,17,Tanzania,East African Coral Coast,Fished,Lagoon/Back reef,Tim,2,35,0.020303603,50.41699982,0.006568,4.764999866,0.059219237,35.098614,628,0.402387381,1230.460938,0.333333333,0.25,30.17781555,-0.963817505,27.53,0.520213954,49.99360275,0.552099,0.090000004,1.559208171,1002.011273,8.217000008,0.506845225,-0.179991146,0.708000004,0.683328937,101.25,95,5.5,2012,2012,1
90,39.121627,-6.142255,14,Tanzania,East African Coral Coast,Fished,Lagoon/Back reef,Nyawira,2.75,38,0.020247381,52.43899918,0.00219,4.765999794,0.050912436,35.106182,66,0.369115114,1253.178833,0.333333333,0.25,30.44348509,-0.968585129,27.54,0.376581736,73.5734787,0.707957,0.094999999,1.559208171,1002.011273,8.217000008,0.508886054,-0.184736607,0.651749998,0.0310085,63,51.75,49.25,2016,2016,2
90,39.121627,-6.142255,13,Tanzania,East African Coral Coast,Fished,Lagoon/Back reef,Tim,3,38,0.020247381,52.43899918,0.00219,4.765999794,0.050912436,35.106182,66,0.369115114,1253.178833,0.333333333,0.25,30.44348509,-0.968585129,27.54,0.376581736,73.5734787,0.707957,0.094999999,1.559208171,1002.011273,8.217000008,0.508886054,-0.184736607,0.651749998,0.0310085,63,51.75,49.25,2016,2016,1
90,39.121627,-6.142255,21,Tanzania,East African Coral Coast,Fished,Lagoon/Back reef,Ussi,3.5,38,0.020247381,52.43899918,0.00219,4.765999794,0.050912436,35.106182,66,0.369115114,1253.178833,0.333333333,0.25,30.44348509,-0.968585129,27.54,0.376581736,73.5734787,0.707957,0.094999999,1.559208171,1002.011273,8.217000008,0.508886054,-0.184736607,0.651749998,0.0310085,63,51.75,49.25,2010,2016,3
91,39.144085,-6.142255,19,Tanzania,East African Coral Coast,Fished,Lagoon/Back reef,Muhando,5,38,0.020202664,52.43899918,0.00219,4.765999794,0.050912436,35.106182,66,0.369115114,1253.178833,0.333333333,0.25,30.39651335,-0.96906183,27.535,0.423426166,73.5734787,0.707957,0.094999999,1.559208171,1002.011273,8.217000008,0.508799594,-0.183601115,0.657900006,0.0310085,63,51.75,49.25,2016,2016,1
91,39.144085,-6.142255,20,Tanzania,East African Coral Coast,Fished,Lagoon/Back reef,Nyawira,5.5,38,0.020202664,52.43899918,0.00219,4.765999794,0.050912436,35.106182,66,0.369115114,1253.178833,0.333333333,0.25,30.39651335,-0.96906183,27.535,0.423426166,73.5734787,0.707957,0.094999999,1.559208171,1002.011273,8.217000008,0.508799594,-0.183601115,0.657900006,0.0310085,63,51.75,49.25,2016,2019,3
91,39.144085,-6.142255,20,Tanzania,East African Coral Coast,Fished,Lagoon/Back reef,Tim,2.5,38,0.020202664,52.43899918,0.00219,4.765999794,0.050912436,35.106182,66,0.369115114,1253.178833,0.333333333,0.25,30.39651335,-0.96906183,27.535,0.423426166,73.5734787,0.707957,0.094999999,1.559208171,1002.011273,8.217000008,0.508799594,-0.183601115,0.657900006,0.0310085,63,51.75,49.25,2016,2016,2
91,39.144085,-6.142255,22,Tanzania,East African Coral Coast,Fished,Lagoon/Back reef,Ussi,3,38,0.020202664,52.43899918,0.00219,4.765999794,0.050912436,35.106182,66,0.369115114,1253.178833,0.333333333,0.25,30.39651335,-0.96906183,27.535,0.423426166,73.5734787,0.707957,0.094999999,1.559208171,1002.011273,8.217000008,0.508799594,-0.183601115,0.657900006,0.0310085,63,51.75,49.25,2010,2016,2
97,39.121627,-6.164732,18,Tanzania,East African Coral Coast,Fished,Lagoon/Back reef,Nyawira,3,38,0.020167162,52.09199905,0.012407,4.766499996,0.050912436,35.11125,286,0.409850091,1253.178833,0.333333333,0.25,30.27244936,-0.976626546,27.54,0.432542756,86.80181122,0.68133,0.099999998,1.559208171,1002.011273,8.217000008,0.511142884,-0.186020147,0.663399994,0.0310085,63,51.75,49.25,2016,2016,2
97,39.121627,-6.164732,18,Tanzania,East African Coral Coast,Fished,Lagoon/Back reef,Tim,2.5,38,0.020167162,52.09199905,0.012407,4.766499996,0.050912436,35.11125,286,0.409850091,1253.178833,0.333333333,0.25,30.27244936,-0.976626546,27.54,0.432542756,86.80181122,0.68133,0.099999998,1.559208171,1002.011273,8.217000008,0.511142884,-0.186020147,0.663399994,0.0310085,63,51.75,49.25,2016,2016,2
