,Salinity_mean,mean.npp,Current_vel_mean
95,35.2016295,1365.146729,0.8784165
96,35.204185,1117.63501,0.839372
97,35.2347735,1105.270142,0.6859545
98,35.2347735,1105.270142,0.6859545
99,35.2500675,1082.196411,
100,35.2500675,1082.196411,
